1,Toy Story (1995),114709
2,Jumanji (1995),113497
3,Grumpier Old Men (1995),113228
4,Waiting to Exhale (1995),114885
5,Father of the Bride Part II (1995),113041
6,Heat (1995),113277
7,Sabrina (1995),114319
8,Tom and Huck (1995),112302
9,Sudden Death (1995),114576
10,GoldenEye (1995),113189
11,"American President, The (1995)",112346
12,Dracula: Dead and Loving It (1995),112896
13,Balto (1995),112453
14,Nixon (1995),113987
15,Cutthroat Island (1995),112760
16,Casino (1995),112641
17,Sense and Sensibility (1995),114388
18,Four Rooms (1995),113101
19,Ace Ventura: When Nature Calls (1995),112281
20,Money Train (1995),113845
21,Get Shorty (1995),113161
22,Copycat (1995),112722
23,Assassins (1995),112401
24,Powder (1995),114168
25,Leaving Las Vegas (1995),113627
26,Othello (1995),114057
27,Now and Then (1995),114011
28,Persuasion (1995),114117
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",112682
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),115012
31,Dangerous Minds (1995),112792
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),114746
33,Wings of Courage (1995),114952
34,Babe (1995),112431
35,Carrington (1995),112637
36,Dead Man Walking (1995),112818
37,Across the Sea of Time (1995),112286
38,It Takes Two (1995),113442
39,Clueless (1995),112697
40,"Cry, the Beloved Country (1995)",112749
41,Richard III (1995),114279
42,Dead Presidents (1995),112819
43,Restoration (1995),114272
44,Mortal Kombat (1995),113855
45,To Die For (1995),114681
46,How to Make an American Quilt (1995),113347
47,Seven (a.k.a. Se7en) (1995),114369
48,Pocahontas (1995),114148
49,When Night Is Falling (1995),114916
50,"Usual Suspects, The (1995)",114814
51,Guardian Angel (1994),109950
52,Mighty Aphrodite (1995),113819
53,Lamerica (1994),110299
54,"Big Green, The (1995)",112499
55,Georgia (1995),113158
56,Kids of the Round Table (1995),113541
57,Home for the Holidays (1995),113321
58,"Postman, The (Postino, Il) (1994)",110877
59,"Confessional, The (Confessionnal, Le) (1995)",112714
60,"Indian in the Cupboard, The (1995)",113419
61,Eye for an Eye (1996),116260
62,Mr. Holland's Opus (1995),113862
