60382,1157705,7.2,Roman Polanski: Wanted and Desired (2008),1h 39min | Documentary/ Crime | 11 December 2008 (Greece),Examines the public scandal and private tragedy which led to legendary filmmaker Roman Polanski's sudden flight from the United States.
60384,405496,7.7,Z Channel: A Magnificent Obsession (2004),R | 2h | Documentary/ Biography/ History | TV Movie 16 August 2007,-
60389,870211,6.9,Battle for Haditha (2007),R | 1h 37min | Drama/ History/ War | 1 February 2008 (UK),"An investigation of the massacre of 24 men, women and children in Haditha, Iraq allegedly shot by 4 U.S. Marines in retaliation for the death of a U.S. Marine killed by a roadside bomb. The movie follows the story of the Marines of Kilo Company, an Iraqi family, and the insurgents who plant the roadside bomb."
60391,1034427,6.8,Aleksandra (2007),All | 1h 35min | Drama/ War | 26 September 2007 (France),An elderly woman takes a train trip to visit her grandson at his army camp inside Chechnya.
60393,463381,6.8,Transylvania (2006),1h 43min | Drama | 4 October 2006 (France),"Zingarina, who is two-months pregnant, travels from France to Transylvania with her friend Marie to seek out her lover Milan Agustin that was deported from France. They hire the guide and interpreter Luminitsa to help them to find the musician Milan. When she finds him, she is rejected and Milan tells that he was not deported, but left her. Zingarina has a breakdown and leaves Marie on the road, wandering with a street boy. Soon she meets the traveling trader Tchangalo and she joins him in a road travel without destiny."
60397,795421,6.4,Mamma Mia! (2008),12 | 1h 48min | Comedy/ Musical/ Romance | 4 September 2008 (South Korea),The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.
60405,909388,6.2,Ganes (2007),1h 47min | Biography/ Drama/ Music | 28 September 2007 (Finland),In early days Remu Aaltonen was young musician and his band named Hurriganes were unknown. This story is all about the Finnish rock band and how they became famous.
60408,1064932,7.1,Bienvenue chez les Ch'tis (2008),12 | 1h 46min | Comedy/ Romance | 27 February 2008 (France),"A French public servant from Provence is banished to the far North. Strongly prejudiced against this cold and inhospitable place, he leaves his family behind to relocate temporarily there, with the firm intent to quickly come back."
60411,60560,7.3,Erogotoshi-tachi yori: Jinruigaku nyumon (1966),2h 8min | Comedy/ Drama | 12 March 1966 (Japan),"While avoiding the mob and local authorities, a world-weary pornographer finds being a family man the most difficult as he wrestles with his own desires and afflictions."
60418,816545,6.6,Kabluey (2007),PG-13 | 1h 26min | Comedy | 25 June 2007 (USA),A loser moves in with his brother's (in Iraq) wife to look after her two evil sons. She gets him a job wearing a Kabluey costume.
